Plant Name,State,Capacity (MW),Operator
Vindhyachal Super Thermal Power Station,Madhya Pradesh,4760,NTPC
Mundra Thermal Power Station,Gujarat,4620,Adani Power
Mundra Ultra Mega Power Project,Gujarat,4000,Tata Power
Sasan Ultra Mega Power Project,Madhya Pradesh,3960,Reliance Power
KSK Mahanadi Power Project,Chhattisgarh,3600,KSK Energy Ventures
Jindal Tamnar Thermal Power Plant,Chhattisgarh,3400,JSPL
Chandrapur Super Thermal Power Station,Maharashtra,3340,MSPGCL (MAHAGENCO)
Tirora Thermal Power Station,Maharashtra,3300,Adani Power
Sipat Thermal Power Plant,Chhattisgarh,2980,NTPC
RKM Powergen Thermal Power Plant,Chhattisgarh,1440,R. K. M Powergen Private Limited
Korba Super Thermal Power Plant,Chhattisgarh,2600,NTPC
Sant Singaji Thermal Power Plant,Madhya Pradesh,2520,MPPGC
Wanakbori Thermal Power Station,Gujarat,2270,GSECL
Dada Dhuniwale Thermal Power Plant,Madhya Pradesh,1600,MPPGC
Bhusawal Thermal Power Station,Maharashtra,1000,MSPGCL (MAHAGENCO)
Trombay Thermal Power Station,Maharashtra,750,Tata Power
Amravati Thermal Power Plant,Maharashtra,1350,Indiabulls
Khaparkheda Thermal Power Station,Maharashtra,1340,MSPGCL (MAHAGENCO)
Sanjay Gandhi Thermal Power Station,Madhya Pradesh,1340,MPPGCL
Satpura Thermal Power Station,Madhya Pradesh,1330,MPPGCL
Essar Salaya Power Plant,Gujarat,1200,Essar Energy
DB Thermal Project Ltd.,Chhattisgarh,1200,DB POWER
Parli Thermal Power Station,Maharashtra,500,MSPGCL (MAHAGENCO)
Gandhinagar Thermal Power Station,Gujarat,630,GSECL
Ukai Thermal Power Station,Gujarat,1110,GSECL
Hasdeo Thermal Power Station,Chhattisgarh,840,CSPGCL
Nashik Thermal Power Station,Maharashtra,630,MSPGCL (MAHAGENCO)
Koradi Thermal Power Station,Maharashtra,2400,MSPGCL (MAHAGENCO)
Lanco Amarkantak Power Plant,Chhattisgarh,600,Lanco Infratech
